product_id,product_name,category,subcategory,price,currency,discount_pct,stock_qty,brand,rating,num_reviews,created_at,updated_at,is_active,color,size,material,country_of_origin,seller_id,tmp_notes,internal_flag,extra_col1,extra_col2
1,Stark Non-fiction 1,Books,Non-fiction,236.23,USD,30,109,Stark,,1418,2024-06-15,2024-07-03,True,,L,Polyester,BR,14,seasonal,TEST,,
2,Globex Bedding 2,Home & Kitchen,Bedding,327.88,INR,30,168,Globex,,,2024-04-14,2024-05-03,True,Grey,S,Leather,GB,1,clearance,,N/A,NA
3,Umbrella Outdoor 3,Sports,Outdoor,37.54,EUR,20,350,Umbrella,NA,,2024-03-16,2024-07-24,True,Blue,S,Cotton,GB,18,,,NA,
4,Soylent Jeans 4,Fashion,Jeans,370.42,EUR,10,228,Soylent,4.9,1960,2024-05-11,2024-08-15,True,White,,,GB,3,clearance,OLD,,
5,Globex Jacket 5,Fashion,Jacket,264.57,EUR,20,491,Globex,NA,1817,2024-01-01,2024-06-11,True,Black,L,Metal,DE,18,,,,
6,Umbrella Laptop 6,Electronics,Laptop,176.04,USD,0,206,Umbrella,2.6,1057,2024-04-05,2024-09-22,True,Grey,One Size,Wood,DE,5,,,,
7,Soylent Furniture 7,Home & Kitchen,Furniture,441.65,EUR,5,498,Soylent,2.6,,2024-12-15,2025-04-06,False,Red,S,Metal,,9,,OLD,,NA
8,Globex Headphones 8,Electronics,Headphones,347.15,INR,25,408,Globex,3.8,,2024-12-14,2025-01-10,True,Black,,Polyester,CN,6,,,N/A,
9,Soylent T-Shirt 9,Fashion,T-Shirt,448.61,INR,20,406,Soylent,3.8,,2024-09-01,2024-11-25,True,Blue,S,Cotton,,20,,,NA,
10,Acme Outdoor 10,Sports,Outdoor,62.63,EUR,30,31,Acme,3.2,,2024-07-21,2024-12-10,True,Red,M,Leather,BR,8,,OLD,N/A,
11,Wonka Jeans 11,Fashion,Jeans,222.32,USD,5,452,Wonka,2.6,674,2024-04-10,2024-08-22,True,,One Size,Leather,IN,15,,LEGACY,NA,N/A
12,Wonka Headphones 12,Electronics,Headphones,,INR,15,484,Wonka,3.4,,2024-03-16,2024-06-24,False,White,L,,DE,20,clearance,,N/A,N/A
13,Umbrella Comics 13,Books,Comics,460.26,USD,20,439,Umbrella,2.6,,2024-01-25,2024-07-21,True,,M,,CN,15,,TEST,,NA
14,Globex Comics 14,Books,Comics,498.76,EUR,20,346,Globex,,337,2024-09-26,2024-11-24,False,Yellow,M,Wood,IN,12,,,NA,NA
15,Innotech Shoes 15,Fashion,Shoes,266.91,EUR,5,147,Innotech,NA,,2024-10-24,2025-04-18,True,Green,XL,Metal,FR,6,seasonal,OLD,N/A,
16,Acme Accessories 16,Sports,Accessories,89.8,INR,25,38,Acme,2.9,,2024-01-05,2024-03-13,False,Black,,,DE,11,seasonal,,,
17,Soylent Team Sports 17,Sports,Team Sports,288.81,INR,10,146,Soylent,3.6,1352,2024-12-01,2025-03-07,False,Black,M,Cotton,US,14,,,NA,
18,Wayne Jeans 18,Fashion,Jeans,35.19,INR,15,181,Wayne,4.2,,2024-11-27,2025-02-13,True,,,Polyester,DE,12,seasonal,TEST,,
19,Wonka Shoes 19,Fashion,Shoes,163.7,INR,0,224,Wonka,NA,,2024-08-02,2024-08-20,False,Yellow,L,Polyester,FR,7,seasonal,,N/A,N/A
20,Umbrella Education 20,Books,Education,392.65,EUR,10,452,Umbrella,NA,57,2024-10-14,2025-04-03,False,Black,XL,Cotton,IN,10,clearance,OLD,N/A,
21,Umbrella T-Shirt 21,Fashion,T-Shirt,45.24,USD,10,77,Umbrella,4.3,1439,2024-09-01,2024-11-13,False,Yellow,XL,Wood,GB,14,promo item,,NA,
22,Globex Decor 22,Home & Kitchen,Decor,212.28,USD,0,115,Globex,NA,1621,2024-09-19,2024-11-30,True,Grey,,Polyester,US,7,,,,NA
23,Acme Shoes 23,Fashion,Shoes,205.69,INR,15,215,Acme,4.3,,2024-04-05,2024-05-24,True,Blue,S,Plastic,IN,14,seasonal,,,N/A
24,Globex Decor 24,,Decor,95.05,USD,5,93,Globex,4.3,,2024-11-20,2025-05-22,True,Red,,Polyester,DE,16,,,NA,
25,Stark Laptop 25,Electronics,Laptop,150.49,INR,25,402,Stark,,1229,2024-01-28,2024-02-06,False,White,,Cotton,IN,5,,,NA,
26,Globex Team Sports 26,Sports,Team Sports,389.71,USD,25,78,Globex,NA,,2024-04-11,2024-09-03,True,Black,M,,IN,6,,,,
27,Umbrella Smartwatch 27,Electronics,Smartwatch,180.56,EUR,20,125,Umbrella,NA,693,2024-09-06,2024-11-26,False,Green,,,GB,9,seasonal,,NA,NA
28,Wayne Bedding 28,Home & Kitchen,Bedding,262.06,USD,20,473,Wayne,NA,573,2024-11-26,2025-04-12,True,White,,Polyester,IN,6,,TEST,N/A,NA
29,Umbrella Furniture 29,Home & Kitchen,Furniture,394.39,EUR,15,252,Umbrella,,,2024-07-05,2024-08-24,True,Green,XL,Metal,US,8,clearance,,,NA
30,Wayne Headphones 30,Electronics,Headphones,241.91,INR,10,189,Wayne,,1470,2024-06-05,2024-12-03,False,,L,Leather,US,18,promo item,,NA,N/A
31,Soylent Furniture 31,Home & Kitchen,Furniture,376.3,EUR,20,130,Soylent,,,2024-09-27,2025-01-23,True,Yellow,L,Leather,CN,19,,,,
32,Globex Accessories 32,Sports,Accessories,463.45,EUR,10,36,Globex,3.1,665,2024-01-01,2024-07-09,True,White,XL,Cotton,GB,2,seasonal,,NA,
33,Wayne T-Shirt 33,Fashion,T-Shirt,241.91,EUR,20,446,Wayne,NA,,2024-03-04,2024-08-30,True,Yellow,,Polyester,CN,3,,OLD,,N/A
34,Stark Accessories 34,Sports,Accessories,162.71,EUR,15,281,Stark,,,2024-11-16,2025-03-28,True,Yellow,,Cotton,,3,promo item,LEGACY,,
35,Umbrella Outdoor 35,Sports,Outdoor,18.3,USD,20,312,Umbrella,,,2024-10-21,2024-12-16,True,Green,M,Polyester,IN,12,promo item,,,
36,Globex Cookware 36,Home & Kitchen,Cookware,76.19,INR,30,456,Globex,3.8,,2024-01-22,2024-07-03,True,Yellow,One Size,Plastic,BR,15,seasonal,,,NA
37,Wonka Laptop 37,Electronics,Laptop,350.32,INR,25,184,Wonka,,,2024-07-09,2024-12-08,True,Blue,,Wood,CN,14,,,NA,N/A
38,Stark Mobile 38,Electronics,Mobile,402.47,INR,30,385,Stark,NA,,2024-12-14,2025-01-29,True,Green,XL,Wood,IN,18,,OLD,,
39,Soylent Cookware 39,Home & Kitchen,Cookware,344.5,EUR,20,,Soylent,3.2,286,2024-02-18,2024-08-27,True,Black,,Metal,US,16,clearance,LEGACY,,
40,Umbrella Comics 40,Books,Comics,175.44,INR,10,247,Umbrella,4.4,888,2024-04-01,2024-06-20,True,Yellow,One Size,,US,11,clearance,,NA,
41,Soylent Comics 41,Books,Comics,,EUR,20,155,Soylent,NA,,2024-03-04,2024-05-24,False,Red,XL,Cotton,US,17,promo item,TEST,NA,
42,Stark Bedding 42,Home & Kitchen,Bedding,386.63,USD,10,268,Stark,NA,,2024-04-15,2024-06-06,True,Black,One Size,Leather,FR,14,,TEST,NA,N/A
